table_id,table_type,created_date,last_revised_date,row_count,size_mb
active_bids,TABLE,2026-01-08 03:54:58,2026-01-08 03:54:58,45,0.02
active_projects,TABLE,2026-01-08 03:54:52,2026-01-08 03:54:52,380,0.16
assembly_dictionary_v2,TABLE,2025-12-29 08:53:09,2025-12-29 08:53:09,717,0.1
bundle_item_mapping,TABLE,2026-01-05 01:26:04,2026-01-05 01:26:04,108,0.01
bundle_items_library,TABLE,2025-12-29 09:30:21,2025-12-29 09:30:21,145,0.01
bundle_items_pricing,TABLE,2025-12-29 12:27:42,2025-12-29 12:27:42,92,0.01
chat_facts_gemini_comparison,TABLE,2026-01-06 19:20:16,2026-01-06 20:25:44,252,0.08
closed_projects,TABLE,2026-01-08 03:54:55,2026-01-08 03:54:55,170,0.06
document_index_v1,TABLE,2026-01-08 02:37:38,2026-01-08 02:37:38,6451,1.41
email_attachments,TABLE,2026-01-05 13:44:52,2026-01-07 05:33:49,109040,25.05
email_messages_processed,TABLE,2026-01-05 16:08:55,2026-01-05 17:14:12,69108,2.31
extracted_facts_v2,TABLE,2026-01-06 21:35:56,2026-01-07 01:47:19,68505,22.18
gc_bundling_preferences,TABLE,2025-12-29 07:09:44,2025-12-29 07:09:44,191,0.03
gc_contacts_from_emails,TABLE,2026-01-05 18:14:09,2026-01-05 18:14:09,2037,0.23
gc_directory_from_emails,TABLE,2026-01-05 18:14:57,2026-01-05 18:14:57,865,0.14
gc_master,TABLE,2026-01-05 18:31:16,2026-01-05 18:31:47,279,0.1
gc_profile,TABLE,2026-01-07 09:54:26,2026-01-07 09:54:26,302,0.34
item_variant_summary,TABLE,2026-01-06 02:19:01,2026-01-06 02:19:01,51,0.01
lib_categories,TABLE,2026-01-02 11:40:24,2026-01-02 13:45:28,12,0.0
lib_category_mapping,TABLE,2026-01-05 01:44:41,2026-01-05 01:44:41,25,0.0
lib_line_items_v3,TABLE,2026-01-04 23:18:55,2026-01-04 23:18:55,229,0.05
lib_system_line_items,TABLE,2026-01-06 04:45:47,2026-01-06 04:47:06,32,0.0
lib_system_type_mapping,TABLE,2026-01-05 01:43:53,2026-01-05 01:43:53,21,0.0
lib_systems,TABLE,2026-01-02 11:40:40,2026-01-06 04:46:52,55,0.03
lib_takeoff_template,TABLE,2026-01-07 01:22:30,2026-01-07 03:42:59,58,0.0
lost_bids,TABLE,2026-01-08 03:55:07,2026-01-08 03:55:07,107,0.04
mr_official_takeoff_template,TABLE,2026-01-06 02:15:19,2026-01-06 03:20:09,63,0.0
parsed_proposals_v2,TABLE,2026-01-04 20:49:51,2026-01-05 21:11:16,10024,142.28
project_active_risks,TABLE,2026-01-07 09:55:24,2026-01-07 09:55:24,358,0.1
project_best_sheet_mapping,TABLE,2026-01-07 02:15:17,2026-01-07 02:15:17,777,0.07
project_best_sheet_v2,TABLE,2026-01-07 03:13:43,2026-01-07 08:12:03,2114,0.15
project_bundle_lines,TABLE,2026-01-08 17:39:23,2026-01-08 17:39:23,1894462,357.78
project_email_summary_v2,TABLE,2026-01-05 13:36:58,2026-01-05 13:36:58,1169,0.36
project_facts_summary_v2,TABLE,2026-01-05 13:37:03,2026-01-05 13:37:03,913,0.14
project_key_decisions,TABLE,2026-01-07 09:56:09,2026-01-07 09:56:09,814,0.73
project_lifecycle_summary_v6,TABLE,2026-01-05 16:52:24,2026-01-05 16:52:24,1015,0.07
project_llm,TABLE,2026-01-07 10:33:35,2026-01-07 10:33:35,1529,3.59
project_master,TABLE,2026-01-05 19:29:34,2026-01-07 21:45:10,1502,0.43
project_outcome,TABLE,2026-01-07 09:56:48,2026-01-07 09:56:48,776,0.16
project_recent_activity,TABLE,2026-01-07 09:55:46,2026-01-07 09:55:46,1051,0.54
project_scope_summary,TABLE,2026-01-07 09:54:58,2026-01-07 09:54:58,832,0.35
project_system_bundling,TABLE,2026-01-07 02:22:14,2026-01-07 02:22:14,5688,1.16
project_takeoff,TABLE,2026-01-07 03:42:18,2026-01-07 07:07:36,56975,8.44
project_takeoff_item_diffs,TABLE,2026-01-07 10:30:43,2026-01-07 10:30:43,4982,1.23
project_takeoff_versioned,TABLE,2026-01-07 10:29:40,2026-01-07 10:29:40,14473,2.56
project_true_bundles,TABLE,2026-01-08 17:39:36,2026-01-08 17:39:36,6925,0.57
projects_pending_gc,TABLE,2026-01-08 03:54:48,2026-01-08 03:54:48,216,0.06
proposal_line_items,TABLE,2026-01-02 14:03:08,2026-01-02 14:05:16,1075,0.18
proposal_revisions,TABLE,2026-01-07 09:07:00,2026-01-07 22:05:21,1057,0.15
proposal_revisions_v3,TABLE,2026-01-05 16:51:08,2026-01-05 16:51:08,5256,0.87
proposal_sheet_matches_v2,TABLE,2026-01-05 13:36:51,2026-01-05 13:36:51,4586,2.34
proposal_systems,TABLE,2026-01-02 14:03:01,2026-01-02 14:04:56,5000,0.91
proposal_takeoff_line_matches_v2,TABLE,2026-01-05 13:36:45,2026-01-05 13:36:45,37177,13.66
proposal_takeoff_matches,TABLE,2026-01-04 17:11:58,2026-01-04 17:11:58,1353,0.23
proposal_takeoff_matches_v8,TABLE,2026-01-04 22:36:44,2026-01-04 22:36:44,4430,0.79
proposal_takeoff_matches_v9,TABLE,2026-01-05 13:36:21,2026-01-05 13:36:21,4430,0.79
proposal_takeoff_sheet_matches,TABLE,2026-01-07 02:14:29,2026-01-07 02:14:29,3741,0.6
proposal_takeoff_system_matches,TABLE,2026-01-07 03:07:32,2026-01-07 03:07:32,16771,3.95
proposal_takeoff_unified,TABLE,2025-12-28 16:39:37,2025-12-28 16:39:37,52511,13.6
proposal_takeoff_unified_v2,TABLE,2026-01-05 13:36:15,2026-01-05 13:36:15,52511,13.6
review_new_items,TABLE,2026-01-06 03:50:59,2026-01-06 04:11:13,1155,0.1
revision_line_diffs,TABLE,2026-01-07 10:20:37,2026-01-07 10:20:37,21232,8.45
revision_summaries,TABLE,2026-01-07 09:02:27,2026-01-07 11:23:36,249,0.74
revision_takeoff_links,TABLE,2026-01-07 10:17:03,2026-01-07 10:17:03,584,0.08
sage_invoices,TABLE,2026-01-06 05:28:40,2026-01-06 05:28:40,25040,4.04
section_bundle_mapping_final,TABLE,2025-12-29 10:01:29,2025-12-29 10:01:29,188,0.02
section_bundles,TABLE,2025-12-29 12:27:49,2025-12-29 12:27:49,119,0.01
section_categories,TABLE,2025-12-29 07:05:44,2025-12-29 07:05:44,119,0.01
section_library_normalized,TABLE,2025-12-29 10:00:24,2025-12-29 10:00:24,3649,0.6
