table_name,created_at,last_modified,schema_columns,total_rows,size_mb
active_bids_draft,2026-01-08 02:39:23.530+00,2026-01-08 02:39:23.531+00,50,54,0.02
active_projects_draft,2026-01-08 02:39:19.619+00,2026-01-08 02:39:19.620+00,50,441,0.18
asana_2025_final_matches,2026-01-07 23:17:56.329+00,2026-01-07 23:17:56.329+00,10,169,0.03
asana_2025_step1_raw,2026-01-07 23:05:49.580+00,2026-01-07 23:05:49.580+00,7,169,0.02
asana_2025_step2_normalized,2026-01-07 23:07:05.851+00,2026-01-07 23:07:05.851+00,11,169,0.03
asana_2025_step3_clean,2026-01-07 23:08:18.727+00,2026-01-07 23:08:18.727+00,9,169,0.02
asana_2025_step4_final,2026-01-07 23:10:11.292+00,2026-01-07 23:10:11.292+00,8,169,0.02
asana_2025_step5_match,2026-01-07 23:10:39.852+00,2026-01-07 23:10:39.852+00,11,169,0.02
asana_bids_fresh,2026-01-07 22:37:25.698+00,2026-01-07 22:56:32.467+00,9,830,0.06
asana_bids_normalized,2025-12-29 14:16:19.234+00,2025-12-29 14:16:19.234+00,12,1752,0.25
asana_new_projects,2025-12-29 19:01:01.473+00,2025-12-29 19:04:27.887+00,11,32,0.0
asana_projects_raw,2026-01-08 01:57:01.434+00,2026-01-08 01:57:01.434+00,11,998,0.09
asana_task_canonical,2025-12-29 18:40:51.599+00,2025-12-29 18:40:51.599+00,9,2765,0.25
asana_task_current_values,2025-12-29 18:49:20.494+00,2025-12-29 18:49:20.494+00,34,2417,0.42
asana_task_events,2025-12-29 17:39:37.798+00,2025-12-29 17:39:37.798+00,14,41931,9.35
asana_tasks_current,2025-12-29 18:39:08.064+00,2025-12-29 18:39:08.064+00,6,2769,0.18
chat_messages_tagged,2025-12-26 05:59:37.211+00,2025-12-26 05:59:37.211+00,12,1711,0.41
chat_project_matches,2025-12-26 07:25:49.496+00,2025-12-26 07:25:49.496+00,10,29799,9.41
chats_pending_fact_extraction,2026-01-05 04:00:49.114+00,2026-01-05 04:00:49.114+00,9,21442,6.68
